User,Date,None,Retweet,Tweets,Label
sdsm5238,11/6/2016 23:42,None,FALSE,Trump Releases Final Ad Before Election In Just 2 Minutes He BLOWS UP the Internet... https://t.co/0KNBU6KzsS,?
blueknot1965,11/6/2016 23:42,None,FALSE,@heytana @yakyennej @realDonaldTrump @KimReynoldsIA @TerryBranstad our president Donald J Trump will be speaking to the people on the ninth.,?
southernRN42,11/6/2016 23:42,None,FALSE,RT @realDrOlmo: The BIGGEST Star Comes Out for TRUMP!! Matthew McConaughey VOTES Trump! - https://t.co/BDQ8XxR0Li,?
mrsxsmartypants,11/6/2016 23:42,None,FALSE,RT @SophiaBush: THIS. When youre such an out of control man-baby that someone has to take your phone away but you think you shoul ,?
MikeLehrOZA,11/6/2016 23:42,None,FALSE,The Lawlessness of #Leadership. Why it has no laws. Trump/Hillary as case study https://t.co/BVJSVZ9MKg #leadfromwithin #management #leaders,?
StandTallEurope,11/6/2016 23:42,None,FALSE,RT @PlanetFreeWill: Poll: With only two days before Election Day Trump is up by a huge margin in this swing-state https://t.co/Fo0m7LFU9B,?
sigstarget,11/6/2016 23:42,None,FALSE,RT @TPoliticmanager: Trump seeks to turn Iowa red https://t.co/5A196tw3cI https://t.co/C1CIUWfVaD,?
willie_c,11/6/2016 23:42,None,FALSE,RT @ObamaMalik: The African voters in the US who want Donald Trump as their president https://t.co/M2zeraHZs0 via @qzafrica,?
SilenTearSonGrL,11/6/2016 23:42,None,FALSE,RT @EJLandwehr: Wall Street Journal: Donald Trump had an affair while Melania was pregnant #HillarysArmy  https://t.co/VqpEcrDN0K,?
smille5884,11/6/2016 23:42,None,FALSE,RT @1stSvelteCelt: Oh he is going down. Last hurrah! https://t.co/3LfrE3jQqn,?
SandyFuhrmann,11/6/2016 23:42,None,FALSE,RT @GopAaron: This is Donald Trumps argument for America. Donald Trump will do amazing things for this country and we have to get ,?
emilie_anne,11/6/2016 23:42,None,FALSE,RT @JudyBaldasaro: Boston Trump Voters know it will be a #Trumplandslide Nov 8th#MAGA #Massachusetts @Italians4Trump ,?
paigey_pooo4,11/6/2016 23:42,None,FALSE,I think its funny that people dont wanna vote for Trump cause he says mean things yet they ignore how blatantly corrupt Hillary is.,?
Shrimedianet,11/6/2016 23:42,None,FALSE,RT @LilEsBella: Two old Trump men who dont understand technology. Bonus: Bernard Kerik is a convicted felon https://t.co/K7WmLnC8H3,?
TacomaMaster,11/6/2016 23:42,None,FALSE,Simple Question . Would you vote for Trump if he was a democrat https://t.co/StygUYy4C7,?
merrow_a,11/6/2016 23:42,None,FALSE,RT @YoungDems4Trump: #IfICouldChangeHistory Donald Trump would run &amp; win in 2008 sparing us the Obama disaster.Its not too late to ,?
indiepeg,11/6/2016 23:42,None,FALSE,RT @digg: The SNL versions of Hillary and Trump meet one last time before Election Day: https://t.co/xxYyO012Hh https://t.co/rJRkkE46VM,?
GaryWeb85582852,11/6/2016 23:42,None,FALSE,Trump to Iowa: Choose the People or the Corrupt Political Class https://t.co/F9vcQK03E6,?
indygirl57,11/6/2016 23:42,None,FALSE,RT @NBCNews: Obama says Trump thinks its OK just to lie to his supporters https://t.co/f3k0qhok7k https://t.co/STIFkCuoLW,?
deb6090,11/6/2016 23:42,None,FALSE,RT @UTHornsRawk: Trump knows #CrookedHllary is #AboveTheLaw by James Comey letter. Vote Trump Tues. MAGA https://t.co/HiOUZfTaTc,?
russelltim151,11/6/2016 23:42,None,FALSE,RT @Hope012015: Trump s staff have taken away his Twitter account via @FortuneMagazine https://t.co/uM2mZFxDEW Really?,?
kaylawetz,11/6/2016 23:42,None,FALSE,Wow Lara Trump is definitely a keeper,?
1976Cassie,11/6/2016 23:42,None,FALSE,RT @DonaldJTrumpJr: Absolutely incredible! This is the @realDonaldTrump I know and love. This is the Donald Trump America needs! #magahttp ,?
nutcrackermom,11/6/2016 23:42,None,FALSE,Obama Mocks Trump For Getting His Twitter Confiscated By Campaign - TPM https://t.co/zn7qGLXqut,?
jillurban1961,11/6/2016 23:42,None,FALSE,RT @YoungDems4Trump: #IfICouldChangeHistory Donald Trump would run &amp; win in 2008 sparing us the Obama disaster.Its not too late to ,?
ladytide228,11/6/2016 23:42,None,FALSE,RT @KeithOlbermann: History has given us a Trump before including phony assassination attempts and empty threats to jail opponents htt ,?
TwitlerYouth,11/6/2016 23:42,None,FALSE,RT @DRUDGE_REPORT: Obamas Kenyan clan places curse on half-brother who backs Trump... https://t.co/xVAcuGqlfJ,?
faring_,11/6/2016 23:42,None,FALSE,RT @Vialoser: these are quotes from things trump has actually said but youre pressed cause it came in the mail and your daughte ,?
metalheadCDN,11/6/2016 23:42,None,FALSE,I dont think Trump or Clinton deserve to be president. one is corrupt and the other is an idiot.,?
Sun_Shiney_Day_,11/6/2016 23:42,None,FALSE,RT @czechov: Hillarys ads in Michigan are about Trump and pageant contestants....Trumps ads are about repealing Obamacare and bringing jobs ,?
anon6116,11/6/2016 23:42,None,FALSE,RT @MtnMD: RT @Mama_Jones2013 Humanity against Trump! Vote like ur life depends on it. #IfICouldChangeHistory #AMJoy Final Nbc https://t.co ,?
BRIANcates6,11/6/2016 23:42,None,FALSE,RT @JaredWyand: Trump did a rally at 9:30am in Tampa. 15 hours later hes high energy in Denver at his fourth rally of the dayThi ,?
AngryConsumer_,11/6/2016 23:42,None,FALSE,@JackPosobiec So douche the guy was a fellow Republican who knows your pal Trump is a loser lol. Laughed at the wuss running away #loser,?
des__shante,11/6/2016 23:42,None,FALSE,RT @JackPosobiec: All the Obamas and Clintons will be at Independence Hall at 6pm Monday Trump Flash Mob Independence Hall 6pm Mond ,?
teamstersub,11/6/2016 23:42,None,FALSE,@tpizza saw someone wearing a Trump hat in Toronto and unintentionally blurted out How are you a real person? Where do you come from?,?
redhead4645,11/6/2016 23:42,None,FALSE,@seanhannity @realDonaldTrump WE Must Fight alongside of TRUMP so we can get out country back.  He is our last chance!,?
iminrealdeep,11/6/2016 23:42,None,FALSE,RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should ,?
wvjoe911,11/6/2016 23:42,None,FALSE,Trump s Russia Towers: He Just Can t Get Them Up https://t.co/aNgji4MBhL via @thedailybeast,?
creechan,11/6/2016 23:42,None,FALSE,RT @ddale8: Donald Trump who is campaigning with Ted Nugent literally today complains about Beyonces language.,?
IceStudiosLegit,11/6/2016 23:42,None,FALSE,RT @Lenz2Brad: @wikileaks Been noticing. Trump people have facts. Hillary people have insults. Go figure. MAGA,?
Dj2016djt,11/6/2016 23:42,None,FALSE,RT @LdyNJ1: For @TedNugent to come down from Deer hunting to remind people we need to support @realDonaldTrump is Amazing ,?
infamouskayla_,11/6/2016 23:42,None,FALSE,RT @steveschale: Yesterday this young man was kicked out of a Trump rally. As he was leaving people kicked at his wheelchair. Toda ,?
KnudsenColleen,11/6/2016 23:42,None,FALSE,RT @MSNBC: Obama says Trump thinks its OK just to lie to his supporters https://t.co/1t3aiK6IC3 https://t.co/GztYO64ag8,?
zzfing06w17591,11/6/2016 23:42,None,FALSE,RT @Adel__Almalki: ( Giants )Trump Clinton zero in on swing states in campaigns final days https://t.co/Yn4yJxU9Et,?
luismedina209,11/6/2016 23:42,None,FALSE,RT @nowthisnews: Donald Trump just straight up lied about how President Obama responded to a pro-Trump protester https://t.co/nd1Dhk3bwE,?
samritter99,11/6/2016 23:42,None,FALSE,RT @jpm05880: For those on the fence on who to vote for remember your fathers who fought for us do whats right. Vote Trump. https://t.co/7 ,?
oliemibou,11/6/2016 23:42,None,FALSE,RT @ScottPresler: Since FBI Director Comey wont do it its up to us. Trump will instruct his attorney general to assign a special ,?
don_haworth,11/6/2016 23:42,None,FALSE,RT @TheAlexNevil: The world isnt gonna end on Wednesday if trump gets elected.Thatll happen on Inauguration Day.,?
reb_old,11/6/2016 23:42,None,FALSE,RT @STRONG_OPED: #MLSCupPlayoffs LITTLE LONELY #TRUMP TWEETER YOU ARE THE #TRUMP GROUND GAMEKEEP ON TWEETING https://t.co/U41IjsTi5e,?
Trump_Videos,11/6/2016 23:42,None,FALSE,RT @realDrOlmo: The BIGGEST Star Comes Out for TRUMP!! Matthew McConaughey VOTES Trump! - https://t.co/BDQ8XxR0Li,?
gray_jeana,11/6/2016 23:42,None,FALSE,RT @Darren32895836: Watch @KellyannePolls make @jaketapper look like a bent staple!! #CRUSHED #SundayMorning #CNNSOTO @HillaryClinton ,?
